tell,2071
go,1821
find,1684
see,1314
back,1303
leave,1284
make,1207
man,1172
say,1056
time,1036
two,1020
try,986
kill,983
give,966
come,928
life,880
know,851
call,793
men,786
new,746
get,741
father,737
look,726
begin,709
day,708
work,705
year,702
return,686
meet,685
want,683
room,680
away,667
name,659
home,638
also,633
run,632
help,623
car,614
old,591
police,582
way,575
family,555
head,554
like,554
first,547
however,547
young,542
friend,540
turn,535
wife,529
show,527
woman,527
night,507
order,507
even,503
start,501
house,481
money,480
anoth,479
child,479
later,479
live,469
escape,468
mother,465
fight,461
hand,460
force,455
fall,452
story,443
plan,442
lead,440
open,440
watch,434
death,433
love,432
fire,426
stop,425
people,424
face,423
follow,422
door,418
walk,418
shoot,411
use,411
son,408
believe,403
war,400
drive,398
world,397
talk,392
break,390
city,380
move,366
officer,366
boy,365
send,355
girl,350
dead,349
attack,348
gun,348
play,348
attempt,346
murder,338
train,336
never,332
bruce,330
refuse,330
long,323
need,319
die,317
town,317
appear,312
film,310
job,300
brother,298
learn,297
pull,294
thing,291
ask,287
though,287
point,280
sinc,279
soldier,276
body,275
lose,273
arrive,270
become,269
offer,269
good,267
decide,266
group,266
scene,266
side,258
german,257
hit,256
apartment,255
explain,255
realize,254
truck,252
state,251
steal,250
batman,249
stand,249
marty,248
school,248
together,247
street,246
second,245
despit,244
throw,244
remain,243
could,242
guard,242
ship,239
suddenly,239
think,239
daughter,238
front,238
wait,238
visit,237
stay,236
seem,235
able,234
claim,234
save,234
close,233
land,232
andy,231
hide,231
power,230
change,227
ring,226
without,226
big,225
prison,225
shot,225
wall,224
carry,223
right,223
window,223
reach,222
catch,221
pay,221
white,221
local,220
happen,219
join,219
hotel,217
ll,217
parent,217
hold,216
approach,215
part,215
arm,213
destroy,213
feel,211
include,211
team,211
dream,210
notice,210
voice,210
office,209
party,209
agree,208
army,208
quickly,207
black,206
build,206
case,206
battle,205
carl,205
rest,203
bring,201
real,201
cause,200
morning,200
park,199
phone,199
station,199
dog,198
question,198
reveal,198
sophie,197
travel,197
write,196
across,195
everyone,194
insid,193
note,193
search,193
water,193
human,192
reveals,192
upon,192
allow,191
member,191
continue,190
demand,190
deal,189
cut,188
woody,188
floor,187
hear,187
gang,186
general,186
cover,185
outsid,185
instead,184
end,183
act,181
set,181
eve,180
light,180
miss,180
pass,180
top,179
're,178
pick,178
fly,177
lie,177
line,177
others,176
holly,175
hospital,174
keep,174
company,173
enough,173
joker,173
control,172
four,172
read,172
memory,171
husband,170
movie,170
crime,169
everi,169
letter,169
near,169
past,169
star,169
captain,168
immediately,167
mile,167
moment,167
beat,166
eye,166
promise,166
free,165
put,165
due,163
toy,163
agent,162
best,162
sister,162
crew,161
late,161
sit,161
drop,160
grab,160
becomes,159
king,159
bar,158
meanwhile,158
earth,157
great,157
former,156
red,156
buy,155
drug,155
speak,155
american,154
chase,154
lady,154
sleep,154
wake,154
alone,153
care,153
enters,153
present,153
mission,152
receive,152
nearby,151
step,151
cobb,150
ever,150
release,150
wound,150
final,148
building,147
word,147
camp,146
fear,146
machine,146
teddy,146
york,146
discovers,144
kid,144
race,144
someone,144
suggest,144
bed,143
business,143
capture,143
worker,143
book,142
buzz,142
convince,142
ground,142
marry,142
cross,141
enter,141
track,141
figure,140
prisoner,140
doctor,139
full,139
nothing,139
box,138
decides,138
mind,137
rescue,137
already,136
knock,136
manage,136
anything,135
burn,135
dark,135
arrest,134
base,134
driver,134
unable,134
wear,134
answer,133
blood,133
cop,133
jump,133
priest,132
scarlett,132
bridge,131
everything,131
forest,131
picture,131
really,131
roger,131
towards,131
win,131
bill,130
detective,130
han,130
hire,130
smith,130
spot,130
alien,129
bad,129
earlier,129
grow,129
report,129
rush,129
future,128
mean,128
